Instance,N Jobs,N Machines,N Tasks,N Individuals,N Iterations,Mutation Prob.,Xover Prob.,Threshold,Mode,Factor,Xover type,Mutation type,Iteration,Tardiness,Energy,N Generations,Execution Time
26,6,6,18,200,10,15,100,25,GPMX,INV,0,1,7,774,364.7999999999885,51,16.52372431755066
26,6,6,18,200,10,15,100,25,GPMX,INV,0,1,8,1028,364.7999999999885,44,14.353599548339844
26,6,6,18,200,10,15,100,25,GPMX,INV,0,1,9,1266,364.7999999999885,51,16.384474277496338
26,6,6,18,200,10,15,100,25,GPMX,INV,0,1,10,706,364.7999999999885,47,15.102124214172363
27,4,6,11,200,10,15,100,25,GPMX,INV,0,1,1,212,140.43533333333139,36,4.682374000549316
27,4,6,11,200,10,15,100,25,GPMX,INV,0,1,2,212,140.43533333333139,47,6.064254283905029
27,4,6,11,200,10,15,100,25,GPMX,INV,0,1,3,212,140.43533333333139,43,5.503204345703125
27,4,6,11,200,10,15,100,25,GPMX,INV,0,1,4,212,140.43533333333139,48,6.119492053985596
27,4,6,11,200,10,15,100,25,GPMX,INV,0,1,5,212,140.43533333333139,41,5.483408689498901
27,4,6,11,200,10,15,100,25,GPMX,INV,0,1,6,212,140.43533333333139,46,5.962551832199097
27,4,6,11,200,10,15,100,25,GPMX,INV,0,1,7,212,140.43533333333139,39,5.041314125061035
27,4,6,11,200,10,15,100,25,GPMX,INV,0,1,8,212,140.43533333333139,41,5.402955770492554
27,4,6,11,200,10,15,100,25,GPMX,INV,0,1,9,212,140.43533333333139,40,5.13384222984314
27,4,6,11,200,10,15,100,25,GPMX,INV,0,1,10,212,140.43533333333139,37,4.880624532699585
28,4,6,13,200,10,15,100,25,GPMX,INV,0,1,1,238,280.1359999999953,36,7.84801983833313
28,4,6,13,200,10,15,100,25,GPMX,INV,0,1,2,238,280.1359999999953,38,8.310566663742065
28,4,6,13,200,10,15,100,25,GPMX,INV,0,1,3,238,280.1359999999953,41,8.9613778591156
28,4,6,13,200,10,15,100,25,GPMX,INV,0,1,4,238,280.1359999999953,39,8.72517728805542
28,4,6,13,200,10,15,100,25,GPMX,INV,0,1,5,178,280.1359999999953,42,9.236477136611938
28,4,6,13,200,10,15,100,25,GPMX,INV,0,1,6,178,280.1359999999953,37,8.084689378738403
28,4,6,13,200,10,15,100,25,GPMX,INV,0,1,7,178,280.1359999999953,29,6.498898506164551
28,4,6,13,200,10,15,100,25,GPMX,INV,0,1,8,178,280.1359999999953,39,8.50645637512207
28,4,6,13,200,10,15,100,25,GPMX,INV,0,1,9,178,280.1359999999953,41,9.047175645828247
28,4,6,13,200,10,15,100,25,GPMX,INV,0,1,10,238,280.1359999999953,36,7.946883678436279
29,5,6,13,200,10,15,100,25,GPMX,INV,0,1,1,936,414.48499999998825,44,8.802146434783936
29,5,6,13,200,10,15,100,25,GPMX,INV,0,1,2,776,414.48499999998825,44,8.895245790481567
29,5,6,13,200,10,15,100,25,GPMX,INV,0,1,3,996,414.48499999998825,44,8.913059949874878
29,5,6,13,200,10,15,100,25,GPMX,INV,0,1,4,776,414.48499999998825,44,8.8525869846344
29,5,6,13,200,10,15,100,25,GPMX,INV,0,1,5,836,414.48499999998825,45,9.003828763961792
29,5,6,13,200,10,15,100,25,GPMX,INV,0,1,6,996,414.48499999998825,42,8.516928911209106
29,5,6,13,200,10,15,100,25,GPMX,INV,0,1,7,836,414.48499999998825,42,8.52458119392395
29,5,6,13,200,10,15,100,25,GPMX,INV,0,1,8,776,414.48499999998825,43,8.516135692596436
29,5,6,13,200,10,15,100,25,GPMX,INV,0,1,9,996,414.48499999998825,44,8.793030738830566
29,5,6,13,200,10,15,100,25,GPMX,INV,0,1,10,776,414.48499999998825,49,9.67315125465393
3,2,2,7,200,10,15,100,25,GPMX,INV,0,1,1,140,185.42733333333297,26,3.2124099731445312
3,2,2,7,200,10,15,100,25,GPMX,INV,0,1,2,140,185.42733333333297,26,3.3293426036834717
3,2,2,7,200,10,15,100,25,GPMX,INV,0,1,3,140,185.42733333333297,26,3.3279459476470947
3,2,2,7,200,10,15,100,25,GPMX,INV,0,1,4,140,185.42733333333297,26,3.1462788581848145
3,2,2,7,200,10,15,100,25,GPMX,INV,0,1,5,140,185.42733333333297,26,3.158867597579956
3,2,2,7,200,10,15,100,25,GPMX,INV,0,1,6,140,185.42733333333297,26,3.1396007537841797
3,2,2,7,200,10,15,100,25,GPMX,INV,0,1,7,140,185.42733333333297,26,3.170217990875244
3,2,2,7,200,10,15,100,25,GPMX,INV,0,1,8,140,185.42733333333297,26,3.164487600326538
3,2,2,7,200,10,15,100,25,GPMX,INV,0,1,9,140,185.42733333333297,26,3.141841173171997
3,2,2,7,200,10,15,100,25,GPMX,INV,0,1,10,140,185.42733333333297,26,3.1442317962646484
30,5,6,14,200,10,15,100,25,GPMX,INV,0,1,1,522,487.7109999999927,35,10.493788480758667
30,5,6,14,200,10,15,100,25,GPMX,INV,0,1,2,522,487.7109999999927,41,12.142296552658081
30,5,6,14,200,10,15,100,25,GPMX,INV,0,1,3,522,487.7109999999927,43,12.748929500579834
30,5,6,14,200,10,15,100,25,GPMX,INV,0,1,4,522,487.7109999999927,42,12.573822498321533
30,5,6,14,200,10,15,100,25,GPMX,INV,0,1,5,64,487.71099999999274,47,13.591325044631958
30,5,6,14,200,10,15,100,25,GPMX,INV,0,1,6,522,487.7109999999927,46,13.346341609954834
30,5,6,14,200,10,15,100,25,GPMX,INV,0,1,7,244,487.71099999999274,40,11.560911178588867
30,5,6,14,200,10,15,100,25,GPMX,INV,0,1,8,912,487.7109999999927,43,12.665395975112915
30,5,6,14,200,10,15,100,25,GPMX,INV,0,1,9,912,487.7109999999927,47,13.729962348937988
30,5,6,14,200,10,15,100,25,GPMX,INV,0,1,10,522,487.7109999999927,46,13.322741508483887
31,6,5,18,200,10,15,100,25,GPMX,INV,0,1,1,1794,428.5766666666645,55,16.807523488998413
31,6,5,18,200,10,15,100,25,GPMX,INV,0,1,2,2164,428.5766666666645,55,16.41179323196411
31,6,5,18,200,10,15,100,25,GPMX,INV,0,1,3,1884,428.5766666666645,54,16.118911027908325
31,6,5,18,200,10,15,100,25,GPMX,INV,0,1,4,1804,428.5766666666645,52,15.500787258148193
31,6,5,18,200,10,15,100,25,GPMX,INV,0,1,5,1904,428.5766666666645,53,15.885734558105469
31,6,5,18,200,10,15,100,25,GPMX,INV,0,1,6,1894,428.5766666666645,55,16.45062780380249
31,6,5,18,200,10,15,100,25,GPMX,INV,0,1,7,1814,428.5766666666645,55,16.344956874847412
31,6,5,18,200,10,15,100,25,GPMX,INV,0,1,8,1894,428.5766666666645,56,16.328285694122314
31,6,5,18,200,10,15,100,25,GPMX,INV,0,1,9,1994,428.5766666666645,52,15.479833602905273
31,6,5,18,200,10,15,100,25,GPMX,INV,0,1,10,1814,428.5766666666645,50,14.763137340545654
32,6,5,15,200,10,15,100,25,GPMX,INV,0,1,1,714,599.1396666666412,56,17.211414575576782
32,6,5,15,200,10,15,100,25,GPMX,INV,0,1,2,1098,599.1396666666419,56,16.723815441131592
32,6,5,15,200,10,15,100,25,GPMX,INV,0,1,3,714,599.1396666666412,61,18.395310878753662
32,6,5,15,200,10,15,100,25,GPMX,INV,0,1,4,1098,599.1396666666419,36,10.851760864257812
32,6,5,15,200,10,15,100,25,GPMX,INV,0,1,5,714,599.1396666666412,58,17.611003875732422
